offer_id,offer_name,category,commitment_level,commitment_label,payout,eligibility
O000,RefiPro Mortgage,finance,2,quote_request,79.29,"US, 18+"
O001,QuickCash Loan,finance,3,long_form,55.23,"US, 18+"
O002,CreditFix Plus,finance,2,quote_request,103.85,"US, 18+"
O003,SafeAuto Quote,insurance,2,quote_request,69.87,"US, 18+"
O004,LifeShield Term,insurance,3,long_form,53.24,"US, 18+"
O005,HomeGuard Warranty,insurance,2,quote_request,84.54,"US, 18+"
O006,LeanFast Supplement,health,4,paid_trial,36.54,"US, 18+"
O007,TeleDoc Trial,health,5,purchase,28.38,"US, 18+"
O008,KetoBox Plan,health,4,paid_trial,36.3,"US, 18+"
O009,MegaCash Draw,sweepstakes,1,email_submit,3.97,"US, 18+"
O010,GiftCard Spin,sweepstakes,1,email_submit,7.27,"US, 18+"
O011,DailyWin Survey,sweepstakes,1,email_submit,6.18,"US, 18+"
O012,SolarSave Install,home_services,3,long_form,59.65,"US, 18+"
O013,RoofRight Estimate,home_services,3,long_form,65.51,"US, 18+"
O014,CoolAir HVAC,home_services,3,long_form,71.68,"US, 18+"
