lead_id,offer_id,source_platform,intent_category,geo_state,device,days_since_signup,total_opens,has_opened,days_since_last_open,offer_category,commitment_level,payout,intent_match,true_p,converted
L00000,O000,meta,finance,PA,tablet,158,1,1,142,finance,3,112.1,match,0.0908,0
L00000,O001,meta,finance,PA,tablet,158,1,1,142,finance,3,100.76,match,0.1235,1
L00000,O002,meta,finance,PA,tablet,158,1,1,142,finance,2,96.17,match,0.1706,0
L00000,O003,meta,finance,PA,tablet,158,1,1,142,insurance,2,89.3,related,0.1069,0
L00000,O004,meta,finance,PA,tablet,158,1,1,142,insurance,2,83.49,related,0.1129,0
L00000,O005,meta,finance,PA,tablet,158,1,1,142,insurance,2,57.45,related,0.1118,0
L00000,O006,meta,finance,PA,tablet,158,1,1,142,health,5,34.61,mismatch,0.0265,0
L00000,O007,meta,finance,PA,tablet,158,1,1,142,health,5,17.9,mismatch,0.001,0
L00000,O008,meta,finance,PA,tablet,158,1,1,142,health,4,16.49,mismatch,0.0078,0
L00000,O009,meta,finance,PA,tablet,158,1,1,142,sweepstakes,1,3.77,related,0.1432,0
L00000,O010,meta,finance,PA,tablet,158,1,1,142,sweepstakes,1,2.63,related,0.1568,1
L00000,O011,meta,finance,PA,tablet,158,1,1,142,sweepstakes,1,7.65,related,0.1003,0
L00000,O012,meta,finance,PA,tablet,158,1,1,142,home_services,3,76.54,related,0.0261,0
L00000,O013,meta,finance,PA,tablet,158,1,1,142,home_services,2,97.6,related,0.0803,0
L00000,O014,meta,finance,PA,tablet,158,1,1,142,home_services,3,92.93,related,0.0432,0
L00001,O000,google_search,sweepstakes,TX,desktop,306,4,1,130,finance,3,112.1,mismatch,0.001,0
L00001,O001,google_search,sweepstakes,TX,desktop,306,4,1,130,finance,3,100.76,mismatch,0.0223,0
L00001,O002,google_search,sweepstakes,TX,desktop,306,4,1,130,finance,2,96.17,mismatch,0.055,0
L00001,O003,google_search,sweepstakes,TX,desktop,306,4,1,130,insurance,2,89.3,mismatch,0.0483,0
L00001,O004,google_search,sweepstakes,TX,desktop,306,4,1,130,insurance,2,83.49,mismatch,0.0598,0
L00001,O005,google_search,sweepstakes,TX,desktop,306,4,1,130,insurance,2,57.45,mismatch,0.0142,0
L00001,O006,google_search,sweepstakes,TX,desktop,306,4,1,130,health,5,34.61,mismatch,0.001,0
L00001,O007,google_search,sweepstakes,TX,desktop,306,4,1,130,health,5,17.9,mismatch,0.001,0
L00001,O008,google_search,sweepstakes,TX,desktop,306,4,1,130,health,4,16.49,mismatch,0.0381,0
L00001,O009,google_search,sweepstakes,TX,desktop,306,4,1,130,sweepstakes,1,3.77,match,0.1769,0
L00001,O010,google_search,sweepstakes,TX,desktop,306,4,1,130,sweepstakes,1,2.63,match,0.2212,0
L00001,O011,google_search,sweepstakes,TX,desktop,306,4,1,130,sweepstakes,1,7.65,match,0.1937,0
L00001,O012,google_search,sweepstakes,TX,desktop,306,4,1,130,home_services,3,76.54,mismatch,0.0263,0
L00001,O013,google_search,sweepstakes,TX,desktop,306,4,1,130,home_services,2,97.6,mismatch,0.0207,0
L00001,O014,google_search,sweepstakes,TX,desktop,306,4,1,130,home_services,3,92.93,mismatch,0.0015,0
L00002,O000,tiktok,home_services,OH,mobile,101,5,1,100,finance,3,112.1,related,0.0479,0
L00002,O001,tiktok,home_services,OH,mobile,101,5,1,100,finance,3,100.76,related,0.0406,0
L00002,O002,tiktok,home_services,OH,mobile,101,5,1,100,finance,2,96.17,related,0.0904,0
L00002,O003,tiktok,home_services,OH,mobile,101,5,1,100,insurance,2,89.3,related,0.0591,0
L00002,O004,tiktok,home_services,OH,mobile,101,5,1,100,insurance,2,83.49,related,0.058,1
L00002,O005,tiktok,home_services,OH,mobile,101,5,1,100,insurance,2,57.45,related,0.0896,0
L00002,O006,tiktok,home_services,OH,mobile,101,5,1,100,health,5,34.61,mismatch,0.001,0
L00002,O007,tiktok,home_services,OH,mobile,101,5,1,100,health,5,17.9,mismatch,0.001,0
L00002,O008,tiktok,home_services,OH,mobile,101,5,1,100,health,4,16.49,mismatch,0.001,0
L00002,O009,tiktok,home_services,OH,mobile,101,5,1,100,sweepstakes,1,3.77,related,0.1216,0
L00002,O010,tiktok,home_services,OH,mobile,101,5,1,100,sweepstakes,1,2.63,related,0.1161,0
L00002,O011,tiktok,home_services,OH,mobile,101,5,1,100,sweepstakes,1,7.65,related,0.1625,0
L00002,O012,tiktok,home_services,OH,mobile,101,5,1,100,home_services,3,76.54,match,0.1307,0
L00002,O013,tiktok,home_services,OH,mobile,101,5,1,100,home_services,2,97.6,match,0.1703,0
L00002,O014,tiktok,home_services,OH,mobile,101,5,1,100,home_services,3,92.93,match,0.1335,1
L00003,O000,tiktok,health,PA,mobile,336,2,1,173,finance,3,112.1,mismatch,0.001,0
L00003,O001,tiktok,health,PA,mobile,336,2,1,173,finance,3,100.76,mismatch,0.001,0
L00003,O002,tiktok,health,PA,mobile,336,2,1,173,finance,2,96.17,mismatch,0.0282,0
L00003,O003,tiktok,health,PA,mobile,336,2,1,173,insurance,2,89.3,mismatch,0.0054,0
L00003,O004,tiktok,health,PA,mobile,336,2,1,173,insurance,2,83.49,mismatch,0.0066,0
L00003,O005,tiktok,health,PA,mobile,336,2,1,173,insurance,2,57.45,mismatch,0.001,0
L00003,O006,tiktok,health,PA,mobile,336,2,1,173,health,5,34.61,match,0.0771,0
L00003,O007,tiktok,health,PA,mobile,336,2,1,173,health,5,17.9,match,0.0662,0
L00003,O008,tiktok,health,PA,mobile,336,2,1,173,health,4,16.49,match,0.0893,0
L00003,O009,tiktok,health,PA,mobile,336,2,1,173,sweepstakes,1,3.77,related,0.0847,1
L00003,O010,tiktok,health,PA,mobile,336,2,1,173,sweepstakes,1,2.63,related,0.1207,0
L00003,O011,tiktok,health,PA,mobile,336,2,1,173,sweepstakes,1,7.65,related,0.0821,0
L00003,O012,tiktok,health,PA,mobile,336,2,1,173,home_services,3,76.54,mismatch,0.001,0
L00003,O013,tiktok,health,PA,mobile,336,2,1,173,home_services,2,97.6,mismatch,0.032,0
L00003,O014,tiktok,health,PA,mobile,336,2,1,173,home_services,3,92.93,mismatch,0.001,0
L00004,O000,meta,health,OH,tablet,120,4,1,57,finance,3,112.1,mismatch,0.008,0
L00004,O001,meta,health,OH,tablet,120,4,1,57,finance,3,100.76,mismatch,0.0643,0
L00004,O002,meta,health,OH,tablet,120,4,1,57,finance,2,96.17,mismatch,0.0691,0
L00004,O003,meta,health,OH,tablet,120,4,1,57,insurance,2,89.3,mismatch,0.0582,0
L00004,O004,meta,health,OH,tablet,120,4,1,57,insurance,2,83.49,mismatch,0.0815,0
L00004,O005,meta,health,OH,tablet,120,4,1,57,insurance,2,57.45,mismatch,0.0457,0
L00004,O006,meta,health,OH,tablet,120,4,1,57,health,5,34.61,match,0.1026,0
L00004,O007,meta,health,OH,tablet,120,4,1,57,health,5,17.9,match,0.1268,0
L00004,O008,meta,health,OH,tablet,120,4,1,57,health,4,16.49,match,0.1631,0
L00004,O009,meta,health,OH,tablet,120,4,1,57,sweepstakes,1,3.77,related,0.1795,0
L00004,O010,meta,health,OH,tablet,120,4,1,57,sweepstakes,1,2.63,related,0.1382,0
L00004,O011,meta,health,OH,tablet,120,4,1,57,sweepstakes,1,7.65,related,0.1996,0
L00004,O012,meta,health,OH,tablet,120,4,1,57,home_services,3,76.54,mismatch,0.001,0
L00004,O013,meta,health,OH,tablet,120,4,1,57,home_services,2,97.6,mismatch,0.0628,0
L00004,O014,meta,health,OH,tablet,120,4,1,57,home_services,3,92.93,mismatch,0.0223,0
L00005,O000,meta,home_services,PA,tablet,87,1,1,87,finance,3,112.1,related,0.0529,0
L00005,O001,meta,home_services,PA,tablet,87,1,1,87,finance,3,100.76,related,0.0365,0
L00005,O002,meta,home_services,PA,tablet,87,1,1,87,finance,2,96.17,related,0.1112,0
L00005,O003,meta,home_services,PA,tablet,87,1,1,87,insurance,2,89.3,related,0.1256,0
L00005,O004,meta,home_services,PA,tablet,87,1,1,87,insurance,2,83.49,related,0.1082,1
L00005,O005,meta,home_services,PA,tablet,87,1,1,87,insurance,2,57.45,related,0.0955,0
L00005,O006,meta,home_services,PA,tablet,87,1,1,87,health,5,34.61,mismatch,0.0112,0
L00005,O007,meta,home_services,PA,tablet,87,1,1,87,health,5,17.9,mismatch,0.0121,0
L00005,O008,meta,home_services,PA,tablet,87,1,1,87,health,4,16.49,mismatch,0.0271,0
L00005,O009,meta,home_services,PA,tablet,87,1,1,87,sweepstakes,1,3.77,related,0.159,0
L00005,O010,meta,home_services,PA,tablet,87,1,1,87,sweepstakes,1,2.63,related,0.171,0
L00005,O011,meta,home_services,PA,tablet,87,1,1,87,sweepstakes,1,7.65,related,0.1653,0
L00005,O012,meta,home_services,PA,tablet,87,1,1,87,home_services,3,76.54,match,0.1385,0
L00005,O013,meta,home_services,PA,tablet,87,1,1,87,home_services,2,97.6,match,0.1944,0
L00005,O014,meta,home_services,PA,tablet,87,1,1,87,home_services,3,92.93,match,0.1404,0
L00006,O000,tiktok,sweepstakes,OH,tablet,101,2,1,101,finance,3,112.1,mismatch,0.001,0
L00006,O001,tiktok,sweepstakes,OH,tablet,101,2,1,101,finance,3,100.76,mismatch,0.001,0
L00006,O002,tiktok,sweepstakes,OH,tablet,101,2,1,101,finance,2,96.17,mismatch,0.0058,0
L00006,O003,tiktok,sweepstakes,OH,tablet,101,2,1,101,insurance,2,89.3,mismatch,0.0343,0
L00006,O004,tiktok,sweepstakes,OH,tablet,101,2,1,101,insurance,2,83.49,mismatch,0.0157,0
L00006,O005,tiktok,sweepstakes,OH,tablet,101,2,1,101,insurance,2,57.45,mismatch,0.0336,0
L00006,O006,tiktok,sweepstakes,OH,tablet,101,2,1,101,health,5,34.61,mismatch,0.001,0
L00006,O007,tiktok,sweepstakes,OH,tablet,101,2,1,101,health,5,17.9,mismatch,0.001,0
L00006,O008,tiktok,sweepstakes,OH,tablet,101,2,1,101,health,4,16.49,mismatch,0.001,0
L00006,O009,tiktok,sweepstakes,OH,tablet,101,2,1,101,sweepstakes,1,3.77,match,0.1427,1
L00006,O010,tiktok,sweepstakes,OH,tablet,101,2,1,101,sweepstakes,1,2.63,match,0.1678,0
L00006,O011,tiktok,sweepstakes,OH,tablet,101,2,1,101,sweepstakes,1,7.65,match,0.1725,0
L00006,O012,tiktok,sweepstakes,OH,tablet,101,2,1,101,home_services,3,76.54,mismatch,0.001,0
L00006,O013,tiktok,sweepstakes,OH,tablet,101,2,1,101,home_services,2,97.6,mismatch,0.02,1
L00006,O014,tiktok,sweepstakes,OH,tablet,101,2,1,101,home_services,3,92.93,mismatch,0.001,0
L00007,O000,tiktok,sweepstakes,NY,desktop,28,3,1,28,finance,3,112.1,mismatch,0.019,0
L00007,O001,tiktok,sweepstakes,NY,desktop,28,3,1,28,finance,3,100.76,mismatch,0.0122,0
L00007,O002,tiktok,sweepstakes,NY,desktop,28,3,1,28,finance,2,96.17,mismatch,0.0556,0
L00007,O003,tiktok,sweepstakes,NY,desktop,28,3,1,28,insurance,2,89.3,mismatch,0.0696,0
L00007,O004,tiktok,sweepstakes,NY,desktop,28,3,1,28,insurance,2,83.49,mismatch,0.0929,0
L00007,O005,tiktok,sweepstakes,NY,desktop,28,3,1,28,insurance,2,57.45,mismatch,0.0555,0
